Time,Object,Event
254.26222616867403,ship.3,Ship has loaded 45 batteries from Amsterdam
254.26222616867403,Amsterdam,Amsterdam has 0 batteries left.
254.26222616867403,Amsterdam,"Warning activated in Amsterdam, only 0 batteries left"
254.91933711273376,ship.24,Ship has loaded 25 batteries from Rotterdam
254.91933711273376,Rotterdam,Rotterdam has 34 batteries left.
255.09799993768198,ship.7,Ship has loaded 25 batteries from Amsterdam
255.09799993768198,Amsterdam,Amsterdam has -25 batteries left.
256.62900973576404,ship.19,loaded 50 containers as cargo in Paris
256.68422073187946,ship.6,loaded 93 containers as cargo in Liege
257.35652916212524,ship.1,loaded 57 containers as cargo in Rotterdam
258.87900973576404,ship.19,Ship has loaded 45 batteries from Paris
258.87900973576404,Paris,Paris has 72 batteries left.
258.93422073187946,ship.6,Ship has loaded 45 batteries from Liege
258.93422073187946,Liege,Liege has 15 batteries left.
258.93422073187946,Liege,"Warning activated in Liege, only 15 batteries left"
260.60652916212524,ship.1,Ship has loaded 45 batteries from Rotterdam
260.60652916212524,Rotterdam,Rotterdam has 15 batteries left.
260.60652916212524,Rotterdam,"Warning activated in Rotterdam, only 15 batteries left"
260.7159723678567,ship.23,loaded 55 containers as cargo in Rotterdam
261.2154129386153,ship.12,Ship has loaded 45 batteries from Rotterdam
261.2154129386153,Rotterdam,Rotterdam has -30 batteries left.
261.4410833632654,Moerdijk,"Warning deactivated in Moerdijk, 28 batteries available"
261.6076849060704,ship.14,loaded 87 containers as cargo in Paris
262.43404276089046,ship.15,loaded 57 containers as cargo in Louviere
263.1910833632654,ship.5,loaded 63 containers as cargo in Moerdijk
263.8576849060704,ship.14,Ship has loaded 45 batteries from Paris
263.8576849060704,Paris,Paris has 27 batteries left.
264.68404276089046,ship.15,Ship has loaded 45 batteries from Louviere
264.68404276089046,Louviere,Louviere has 80 batteries left.
265.3151155975917,ship.2,loaded 93 containers as cargo in Velsen
266.9758908008765,ship.25,loaded 56 containers as cargo in Neuss
267.5651155975917,ship.2,Ship has loaded 45 batteries from Velsen
267.5651155975917,Velsen,Velsen has 80 batteries left.
269.09799993768195,ship.7,loaded 74 containers as cargo in Rotterdam
269.2258908008765,ship.25,Ship has loaded 45 batteries from Neuss
269.2258908008765,Neuss,Neuss has 10 batteries left.
269.2258908008765,Neuss,"Warning activated in Neuss, only 10 batteries left"
269.61963133838776,Duisburg,"Warning deactivated in Duisburg, 55 batteries available"
270.1790558390128,ship.10,Ship has loaded 45 batteries from Duisburg
270.1790558390128,Duisburg,Duisburg has 10 batteries left.
270.1790558390128,Duisburg,"Warning activated in Duisburg, only 10 batteries left"
270.49185356060997,ship.11,loaded 53 containers as cargo in Duisburg
274.5844483908962,Antwerp,"Warning deactivated in Antwerp, 30 batteries available"
277.09555950200735,ship.3,loaded 76 containers as cargo in Antwerp
278.0153918172239,ship.16,loaded 70 containers as cargo in Ludwigshafen
279.34555950200735,ship.3,Ship has loaded 45 batteries from Antwerp
279.34555950200735,Antwerp,Antwerp has 90 batteries left.
280.1006668618321,ship.9,loaded 61 containers as cargo in Antwerp
280.2653918172239,ship.16,Ship has loaded 45 batteries from Ludwigshafen
280.2653918172239,Ludwigshafen,Ludwigshafen has 81 batteries left.
281.43936418486487,ship.0,loaded 93 containers as cargo in Antwerp
282.23841434554663,ship.26,loaded 91 containers as cargo in Rotterdam
282.3506668618321,ship.9,Ship has loaded 45 batteries from Antwerp
282.3506668618321,Antwerp,Antwerp has 45 batteries left.
282.68936418486487,ship.0,Ship has loaded 25 batteries from Antwerp
282.68936418486487,Antwerp,Antwerp has 20 batteries left.
282.68936418486487,Antwerp,"Warning activated in Antwerp, only 20 batteries left"
283.4826257876093,ship.18,loaded 96 containers as cargo in Antwerp
284.48841434554663,ship.26,Ship has loaded 25 batteries from Rotterdam
284.48841434554663,Rotterdam,Rotterdam has 50 batteries left.
284.48841434554663,Rotterdam,"Warning deactivated in Rotterdam, 50 batteries available"
284.7098573830598,Duisburg,"Warning deactivated in Duisburg, 55 batteries available"
285.2755528881111,ship.20,loaded 57 containers as cargo in Rotterdam
285.74185356060997,ship.11,Ship has loaded 45 batteries from Duisburg
285.74185356060997,Duisburg,Duisburg has 10 batteries left.
285.74185356060997,Duisburg,"Warning activated in Duisburg, only 10 batteries left"
286.232079605282,ship.12,loaded 66 containers as cargo in Duisburg
286.5255528881111,ship.20,Ship has loaded 25 batteries from Rotterdam
286.5255528881111,Rotterdam,Rotterdam has 25 batteries left.
286.5255528881111,Rotterdam,"Warning activated in Rotterdam, only 25 batteries left"
286.9659723678567,ship.23,Ship has loaded 45 batteries from Rotterdam
286.9659723678567,Rotterdam,Rotterdam has -20 batteries left.
286.9673760942238,ship.15,loaded 53 containers as cargo in Rotterdam
287.34799993768195,ship.7,Ship has loaded 45 batteries from Rotterdam
287.34799993768195,Rotterdam,Rotterdam has -65 batteries left.
289.4222006512561,Antwerp,"Warning deactivated in Antwerp, 55 batteries available"
289.7326257876093,ship.18,Ship has loaded 25 batteries from Antwerp
289.7326257876093,Antwerp,Antwerp has 30 batteries left.
290.9166450957006,ship.17,loaded 61 containers as cargo in Antwerp
294.0068963654688,ship.27,loaded 89 containers as cargo in Dordrecht
294.3040329707726,ship.21,loaded 65 containers as cargo in Rotterdam
294.32033524532096,Rotterdam,"Warning deactivated in Rotterdam, 35 batteries available"
295.3425574675432,ship.25,loaded 60 containers as cargo in Rotterdam
296.2173760942238,ship.15,Ship has loaded 25 batteries from Rotterdam
296.2173760942238,Rotterdam,Rotterdam has 10 batteries left.
296.2173760942238,Rotterdam,"Warning activated in Rotterdam, only 10 batteries left"
296.2568963654688,ship.27,Ship has loaded 45 batteries from Dordrecht
296.2568963654688,Dordrecht,Dordrecht has 55 batteries left.
296.5540329707726,ship.21,Ship has loaded 25 batteries from Rotterdam
296.5540329707726,Rotterdam,Rotterdam has -15 batteries left.
298.1666450957006,ship.17,Ship has loaded 45 batteries from Antwerp
298.1666450957006,Antwerp,Antwerp has 30 batteries left.
298.8683965990793,ship.28,loaded 76 containers as cargo in Rotterdam
299.77905583901276,ship.10,loaded 78 containers as cargo in Antwerp
306.4410833632654,ship.5,Ship has loaded 45 batteries from Moerdijk
306.4410833632654,Moerdijk,Moerdijk has 20 batteries left.
306.4410833632654,Moerdijk,"Warning activated in Moerdijk, only 20 batteries left"
306.7288928353407,Duisburg,"Warning deactivated in Duisburg, 55 batteries available"
307.87069963743926,ship.21,loaded 79 containers as cargo in Moerdijk
308.482079605282,ship.12,Ship has loaded 45 batteries from Duisburg
308.482079605282,Duisburg,Duisburg has 10 batteries left.
308.482079605282,Duisburg,"Warning activated in Duisburg, only 10 batteries left"
310.2455595020074,ship.3,loaded 97 containers as cargo in Duisburg
310.7424443821264,Duisburg,"Warning deactivated in Duisburg, 55 batteries available"
311.17543180029725,ship.29,loaded 88 containers as cargo in Delfzijl
311.4955595020074,ship.3,Ship has loaded 25 batteries from Duisburg
311.4955595020074,Duisburg,Duisburg has 110 batteries left.
312.2146666043486,ship.7,loaded 65 containers as cargo in Duisburg
312.35553398458944,Rotterdam,"Warning deactivated in Rotterdam, 30 batteries available"
312.8326257876093,ship.18,loaded 93 containers as cargo in Velsen
313.42543180029725,ship.29,Ship has loaded 45 batteries from Delfzijl
313.42543180029725,Delfzijl,Delfzijl has 30 batteries left.
