Time,Object,Event
235.60526265513278,Antwerp,"Warning activated in Antwerp, only 5 batteries left"
235.82252029500634,ship.13,loaded 97 containers as cargo in Rotterdam
235.88565746237776,ship.1,loaded 63 containers as cargo in Antwerp
236.84649164871257,ship.12,loaded 71 containers as cargo in Terneuzen
237.2869229131148,ship.5,Ship has loaded 45 batteries from Amsterdam
237.2869229131148,Amsterdam,Amsterdam has 35 batteries left.
238.09649164871257,ship.12,Ship has loaded 25 batteries from Terneuzen
238.09649164871257,Terneuzen,Terneuzen has 75 batteries left.
238.12533430039144,ship.24,loaded 59 containers as cargo in Rotterdam
238.1546211691532,ship.0,loaded 81 containers as cargo in Amsterdam
240.9620235487779,Antwerp,"Warning deactivated in Antwerp, 30 batteries available"
241.13565746237776,ship.1,Ship has loaded 25 batteries from Antwerp
241.13565746237776,Antwerp,Antwerp has 5 batteries left.
241.13565746237776,Antwerp,"Warning activated in Antwerp, only 5 batteries left"
242.73844588655075,ship.16,loaded 92 containers as cargo in Louviere
242.91277908147939,Antwerp,"Warning deactivated in Antwerp, 30 batteries available"
243.98844588655075,ship.16,Ship has loaded 25 batteries from Louviere
243.98844588655075,Louviere,Louviere has 75 batteries left.
244.20646799322233,ship.22,loaded 96 containers as cargo in Antwerp
245.45646799322233,ship.22,Ship has loaded 25 batteries from Antwerp
245.45646799322233,Antwerp,Antwerp has 5 batteries left.
245.45646799322233,Antwerp,"Warning activated in Antwerp, only 5 batteries left"
245.65166797036827,ship.8,loaded 89 containers as cargo in Antwerp
249.69225547056593,ship.25,loaded 73 containers as cargo in Rotterdam
253.60339933027328,Duisburg,"Warning deactivated in Duisburg, 55 batteries available"
254.32660766625912,ship.3,Ship has loaded 45 batteries from Duisburg
254.32660766625912,Duisburg,Duisburg has 10 batteries left.
254.32660766625912,Duisburg,"Warning activated in Duisburg, only 10 batteries left"
254.6756215524955,ship.7,loaded 57 containers as cargo in Duisburg
257.7369229131148,Vlissingen,"Warning deactivated in Vlissingen, 60 batteries available"
258.173134659889,ship.22,loaded 52 containers as cargo in Terneuzen
259.3869229131148,ship.5,loaded 69 containers as cargo in Vlissingen
260.423134659889,ship.22,Ship has loaded 45 batteries from Terneuzen
260.423134659889,Terneuzen,Terneuzen has 55 batteries left.
261.6369229131148,ship.5,Ship has loaded 45 batteries from Vlissingen
261.6369229131148,Vlissingen,Vlissingen has 15 batteries left.
261.6369229131148,Vlissingen,"Warning activated in Vlissingen, only 15 batteries left"
262.4046211691532,ship.0,Ship has loaded 45 batteries from Amsterdam
262.4046211691532,Amsterdam,Amsterdam has 15 batteries left.
262.4046211691532,Amsterdam,"Warning activated in Amsterdam, only 15 batteries left"
263.00449881855,ship.11,loaded 89 containers as cargo in Paris
263.0385591986099,ship.26,loaded 98 containers as cargo in Duisburg
264.06899079571104,ship.1,loaded 88 containers as cargo in Amsterdam
264.37533430039144,ship.24,Ship has loaded 25 batteries from Rotterdam
264.37533430039144,Rotterdam,Rotterdam has 18 batteries left.
264.76241299986316,ship.17,Ship has loaded 25 batteries from Rotterdam
264.76241299986316,Rotterdam,Rotterdam has -7 batteries left.
264.9422554705659,ship.25,Ship has loaded 25 batteries from Rotterdam
264.9422554705659,Rotterdam,Rotterdam has -32 batteries left.
265.0378121785612,Antwerp,"Warning deactivated in Antwerp, 30 batteries available"
265.07252029500637,ship.13,Ship has loaded 25 batteries from Rotterdam
265.07252029500637,Rotterdam,Rotterdam has -57 batteries left.
265.25449881855,ship.11,Ship has loaded 45 batteries from Paris
265.25449881855,Paris,Paris has 80 batteries left.
265.71760745155746,ship.9,loaded 57 containers as cargo in Rotterdam
266.4870856650641,ship.18,loaded 91 containers as cargo in Cologne
266.6342113548685,Vlissingen,"Warning deactivated in Vlissingen, 40 batteries available"
267.7370856650641,ship.18,Ship has loaded 25 batteries from Cologne
267.7370856650641,Cologne,Cologne has 100 batteries left.
268.33225662300566,ship.10,loaded 97 containers as cargo in Antwerp
269.80643357709073,ship.2,loaded 95 containers as cargo in Vlissingen
269.96315831537925,ship.12,loaded 80 containers as cargo in Neuss
271.21315831537925,ship.12,Ship has loaded 25 batteries from Neuss
271.21315831537925,Neuss,Neuss has 100 batteries left.
272.5366804848352,ship.27,loaded 67 containers as cargo in Rotterdam
276.7866804848352,ship.27,Ship has loaded 25 batteries from Rotterdam
276.7866804848352,Rotterdam,Rotterdam has 5 batteries left.
278.12313465988905,ship.22,loaded 97 containers as cargo in Rotterdam
278.14829133136243,ship.28,loaded 68 containers as cargo in Antwerp
278.9432743329258,ship.3,loaded 73 containers as cargo in Rotterdam
279.1813673575592,Rotterdam,"Warning deactivated in Rotterdam, 55 batteries available"
279.9016679703683,ship.8,Ship has loaded 45 batteries from Antwerp
279.9016679703683,Antwerp,Antwerp has 10 batteries left.
279.9016679703683,Antwerp,"Warning activated in Antwerp, only 10 batteries left"
279.96760745155746,ship.9,Ship has loaded 45 batteries from Rotterdam
279.96760745155746,Rotterdam,Rotterdam has 10 batteries left.
279.96760745155746,Rotterdam,"Warning activated in Rotterdam, only 10 batteries left"
280.0957463331965,ship.17,loaded 53 containers as cargo in Antwerp
280.37313465988905,ship.22,Ship has loaded 45 batteries from Rotterdam
280.37313465988905,Rotterdam,Rotterdam has -35 batteries left.
280.39829133136243,ship.28,Ship has loaded 45 batteries from Antwerp
280.39829133136243,Antwerp,Antwerp has -35 batteries left.
280.58225662300566,ship.10,Ship has loaded 45 batteries from Antwerp
280.58225662300566,Antwerp,Antwerp has -80 batteries left.
281.1932743329258,ship.3,Ship has loaded 45 batteries from Rotterdam
281.1932743329258,Rotterdam,Rotterdam has -80 batteries left.
281.80358957978143,ship.5,loaded 84 containers as cargo in Rotterdam
282.75866763372477,ship.24,loaded 69 containers as cargo in Sittard
284.00866763372477,ship.24,Ship has loaded 25 batteries from Sittard
284.00866763372477,Sittard,Sittard has 100 batteries left.
285.9383689712732,ship.29,loaded 61 containers as cargo in Liege
287.05643357709073,ship.2,Ship has loaded 45 batteries from Vlissingen
287.05643357709073,Vlissingen,Vlissingen has 20 batteries left.
287.05643357709073,Vlissingen,"Warning activated in Vlissingen, only 20 batteries left"
287.0879545024865,ship.0,loaded 85 containers as cargo in Antwerp
288.1883689712732,ship.29,Ship has loaded 45 batteries from Liege
288.1883689712732,Liege,Liege has 55 batteries left.
288.7195552498929,ship.14,loaded 84 containers as cargo in Vlissingen
290.46755313069116,ShipGenerator,Finished generating all ships
292.07001381816855,ship.27,loaded 67 containers as cargo in Antwerp
293.4266076662591,Amsterdam,"Warning deactivated in Amsterdam, 60 batteries available"
294.8358314347184,ship.21,loaded 70 containers as cargo in Delfzijl
295.31899079571104,ship.1,Ship has loaded 45 batteries from Amsterdam
295.31899079571104,Amsterdam,Amsterdam has 15 batteries left.
295.31899079571104,Amsterdam,"Warning activated in Amsterdam, only 15 batteries left"
295.54327433292576,ship.3,loaded 69 containers as cargo in Amsterdam
297.0858314347184,ship.21,Ship has loaded 45 batteries from Delfzijl
297.0858314347184,Delfzijl,Delfzijl has 80 batteries left.
300.3379545024865,ship.0,Ship has loaded 25 batteries from Antwerp
300.3379545024865,Antwerp,Antwerp has 4 batteries left.
301.67073941916686,ship.19,loaded 52 containers as cargo in Antwerp
302.51205189600194,Duisburg,"Warning deactivated in Duisburg, 55 batteries available"
302.9645627415093,ship.6,loaded 84 containers as cargo in Rotterdam
303.1044788452279,Amsterdam,"Warning deactivated in Amsterdam, 60 batteries available"
303.2885591986099,ship.26,Ship has loaded 45 batteries from Duisburg
303.2885591986099,Duisburg,Duisburg has 10 batteries left.
303.2885591986099,Duisburg,"Warning activated in Duisburg, only 10 batteries left"
303.3632872942261,ship.23,loaded 85 containers as cargo in Mannheim
303.4051125532174,ship.16,loaded 94 containers as cargo in Ludwigshafen
303.9256215524955,ship.7,Ship has loaded 45 batteries from Duisburg
303.9256215524955,Duisburg,Duisburg has -35 batteries left.
304.38427411822414,ship.9,loaded 73 containers as cargo in Duisburg
304.6132872942261,ship.23,Ship has loaded 25 batteries from Mannheim
304.6132872942261,Mannheim,Mannheim has 100 batteries left.
304.79327433292576,ship.3,Ship has loaded 45 batteries from Amsterdam
304.79327433292576,Amsterdam,Amsterdam has 15 batteries left.
304.79327433292576,Amsterdam,"Warning activated in Amsterdam, only 15 batteries left"
305.065589956339,ship.10,loaded 65 containers as cargo in Amsterdam
305.1100543741056,Antwerp,"Warning deactivated in Antwerp, 55 batteries available"
305.36210367516884,ship.20,loaded 64 containers as cargo in Rotterdam
305.6551125532174,ship.16,Ship has loaded 45 batteries from Ludwigshafen
305.6551125532174,Ludwigshafen,Ludwigshafen has 48 batteries left.
305.92073941916686,ship.19,Ship has loaded 25 batteries from Antwerp
305.92073941916686,Antwerp,Antwerp has 30 batteries left.
306.03996418552003,ship.15,loaded 63 containers as cargo in Ludwigshafen
307.33783215188333,ship.11,loaded 73 containers as cargo in Antwerp
307.9350013037016,Duisburg,"Warning deactivated in Duisburg, 55 batteries available"
308.28996418552003,ship.15,Ship has loaded 45 batteries from Ludwigshafen
308.28996418552003,Ludwigshafen,Ludwigshafen has 3 batteries left.
308.28996418552003,Ludwigshafen,"Warning activated in Ludwigshafen, only 3 batteries left"
